,year,month,day,hour,minute,apx_da_hourly
0,2019,3,31,23,0,26.43
1,2019,3,31,23,30,26.43
2,2019,4,1,0,0,29.24
3,2019,4,1,0,30,29.24
4,2019,4,1,1,0,35.1
5,2019,4,1,1,30,35.1
6,2019,4,1,2,0,30.91
7,2019,4,1,2,30,30.91
8,2019,4,1,3,0,32.26
9,2019,4,1,3,30,32.26
10,2019,4,1,4,0,40.52
11,2019,4,1,4,30,40.52
12,2019,4,1,5,0,49.27
13,2019,4,1,5,30,49.27
14,2019,4,1,6,0,50.42
15,2019,4,1,6,30,50.42
16,2019,4,1,7,0,59.0
17,2019,4,1,7,30,59.0
18,2019,4,1,8,0,52.0
19,2019,4,1,8,30,52.0
20,2019,4,1,9,0,36.03
21,2019,4,1,9,30,36.03
22,2019,4,1,10,0,35.5
23,2019,4,1,10,30,35.5
24,2019,4,1,11,0,32.4
25,2019,4,1,11,30,32.4
26,2019,4,1,12,0,30.3
27,2019,4,1,12,30,30.3
28,2019,4,1,13,0,30.3
29,2019,4,1,13,30,30.3
30,2019,4,1,14,0,35.61
31,2019,4,1,14,30,35.61
32,2019,4,1,15,0,36.3
33,2019,4,1,15,30,36.3
34,2019,4,1,16,0,50.8
35,2019,4,1,16,30,50.8
36,2019,4,1,17,0,59.92
37,2019,4,1,17,30,59.92
38,2019,4,1,18,0,59.94
39,2019,4,1,18,30,59.94
40,2019,4,1,19,0,59.95
41,2019,4,1,19,30,59.95
42,2019,4,1,20,0,45.0
43,2019,4,1,20,30,45.0
44,2019,4,1,21,0,37.4
45,2019,4,1,21,30,37.4
46,2019,4,1,22,0,39.61
47,2019,4,1,22,30,39.61
48,2019,4,1,23,0,33.2
49,2019,4,1,23,30,33.2
50,2019,4,2,0,0,33.14
51,2019,4,2,0,30,33.14
52,2019,4,2,1,0,33.84
53,2019,4,2,1,30,33.84
54,2019,4,2,2,0,37.1
55,2019,4,2,2,30,37.1
56,2019,4,2,3,0,34.1
57,2019,4,2,3,30,34.1
58,2019,4,2,4,0,38.0
59,2019,4,2,4,30,38.0
60,2019,4,2,5,0,45.06
61,2019,4,2,5,30,45.06
62,2019,4,2,6,0,40.39
63,2019,4,2,6,30,40.39
64,2019,4,2,7,0,54.0
65,2019,4,2,7,30,54.0
66,2019,4,2,8,0,55.8
67,2019,4,2,8,30,55.8
68,2019,4,2,9,0,51.95
69,2019,4,2,9,30,51.95
70,2019,4,2,10,0,44.9
71,2019,4,2,10,30,44.9
72,2019,4,2,11,0,38.0
73,2019,4,2,11,30,38.0
74,2019,4,2,12,0,34.57
75,2019,4,2,12,30,34.57
76,2019,4,2,13,0,33.37
77,2019,4,2,13,30,33.37
78,2019,4,2,14,0,33.93
79,2019,4,2,14,30,33.93
80,2019,4,2,15,0,38.0
81,2019,4,2,15,30,38.0
82,2019,4,2,16,0,51.1
83,2019,4,2,16,30,51.1
84,2019,4,2,17,0,57.0
85,2019,4,2,17,30,57.0
86,2019,4,2,18,0,57.2
87,2019,4,2,18,30,57.2
88,2019,4,2,19,0,53.8
89,2019,4,2,19,30,53.8
90,2019,4,2,20,0,40.8
91,2019,4,2,20,30,40.8
92,2019,4,2,21,0,34.7
93,2019,4,2,21,30,34.7
94,2019,4,2,22,0,45.24
95,2019,4,2,22,30,45.24
96,2019,4,2,23,0,31.91
97,2019,4,2,23,30,31.91
98,2019,4,3,0,0,28.95
99,2019,4,3,0,30,28.95
100,2019,4,3,1,0,30.98
101,2019,4,3,1,30,30.98
102,2019,4,3,2,0,28.83
103,2019,4,3,2,30,28.83
104,2019,4,3,3,0,30.85
105,2019,4,3,3,30,30.85
106,2019,4,3,4,0,37.77
107,2019,4,3,4,30,37.77
108,2019,4,3,5,0,42.53
109,2019,4,3,5,30,42.53
110,2019,4,3,6,0,46.07
111,2019,4,3,6,30,46.07
112,2019,4,3,7,0,48.43
113,2019,4,3,7,30,48.43
114,2019,4,3,8,0,43.6
115,2019,4,3,8,30,43.6
116,2019,4,3,9,0,42.37
117,2019,4,3,9,30,42.37
118,2019,4,3,10,0,39.73
119,2019,4,3,10,30,39.73
120,2019,4,3,11,0,38.0
121,2019,4,3,11,30,38.0
122,2019,4,3,12,0,36.82
123,2019,4,3,12,30,36.82
124,2019,4,3,13,0,36.71
125,2019,4,3,13,30,36.71
126,2019,4,3,14,0,36.93
127,2019,4,3,14,30,36.93
128,2019,4,3,15,0,43.0
129,2019,4,3,15,30,43.0
130,2019,4,3,16,0,48.0
131,2019,4,3,16,30,48.0
132,2019,4,3,17,0,53.99
133,2019,4,3,17,30,53.99
134,2019,4,3,18,0,55.41
135,2019,4,3,18,30,55.41
136,2019,4,3,19,0,54.0
137,2019,4,3,19,30,54.0
138,2019,4,3,20,0,43.93
139,2019,4,3,20,30,43.93
140,2019,4,3,21,0,37.58
141,2019,4,3,21,30,37.58
142,2019,4,3,22,0,36.31
143,2019,4,3,22,30,36.31
144,2019,4,3,23,0,30.81
145,2019,4,3,23,30,30.81
146,2019,4,4,0,0,29.91
147,2019,4,4,0,30,29.91
148,2019,4,4,1,0,32.6
149,2019,4,4,1,30,32.6
150,2019,4,4,2,0,32.6
151,2019,4,4,2,30,32.6
152,2019,4,4,3,0,32.46
153,2019,4,4,3,30,32.46
154,2019,4,4,4,0,39.14
155,2019,4,4,4,30,39.14
156,2019,4,4,5,0,48.1
157,2019,4,4,5,30,48.1
158,2019,4,4,6,0,52.66
159,2019,4,4,6,30,52.66
160,2019,4,4,7,0,54.0
161,2019,4,4,7,30,54.0
162,2019,4,4,8,0,53.3
163,2019,4,4,8,30,53.3
164,2019,4,4,9,0,49.8
165,2019,4,4,9,30,49.8
166,2019,4,4,10,0,42.95
167,2019,4,4,10,30,42.95
168,2019,4,4,11,0,36.5
169,2019,4,4,11,30,36.5
170,2019,4,4,12,0,33.96
171,2019,4,4,12,30,33.96
172,2019,4,4,13,0,33.7
173,2019,4,4,13,30,33.7
174,2019,4,4,14,0,33.52
175,2019,4,4,14,30,33.52
176,2019,4,4,15,0,35.12
177,2019,4,4,15,30,35.12
178,2019,4,4,16,0,39.79
179,2019,4,4,16,30,39.79
180,2019,4,4,17,0,44.43
181,2019,4,4,17,30,44.43
182,2019,4,4,18,0,44.98
183,2019,4,4,18,30,44.98
184,2019,4,4,19,0,41.09
185,2019,4,4,19,30,41.09
186,2019,4,4,20,0,37.08
187,2019,4,4,20,30,37.08
188,2019,4,4,21,0,32.42
189,2019,4,4,21,30,32.42
190,2019,4,4,22,0,35.26
191,2019,4,4,22,30,35.26
192,2019,4,4,23,0,30.71
193,2019,4,4,23,30,30.71
194,2019,4,5,0,0,31.58
195,2019,4,5,0,30,31.58
196,2019,4,5,1,0,32.4
197,2019,4,5,1,30,32.4
198,2019,4,5,2,0,33.13
199,2019,4,5,2,30,33.13
200,2019,4,5,3,0,33.9
201,2019,4,5,3,30,33.9
202,2019,4,5,4,0,39.46
203,2019,4,5,4,30,39.46
204,2019,4,5,5,0,45.79
205,2019,4,5,5,30,45.79
206,2019,4,5,6,0,51.26
207,2019,4,5,6,30,51.26
208,2019,4,5,7,0,48.72
209,2019,4,5,7,30,48.72
210,2019,4,5,8,0,45.92
211,2019,4,5,8,30,45.92
212,2019,4,5,9,0,39.5
213,2019,4,5,9,30,39.5
214,2019,4,5,10,0,36.26
215,2019,4,5,10,30,36.26
216,2019,4,5,11,0,34.95
217,2019,4,5,11,30,34.95
218,2019,4,5,12,0,33.92
219,2019,4,5,12,30,33.92
220,2019,4,5,13,0,33.6
