,year,month,day,hour,minute,SP,spot_price
0,2019,1,2,0,0,1.0,40.01
1,2019,1,2,0,30,2.0,43.27
2,2019,1,2,1,0,3.0,42.72
3,2019,1,2,1,30,4.0,52.17
4,2019,1,2,2,0,5.0,53.44
5,2019,1,2,2,30,6.0,51.48
6,2019,1,2,3,0,7.0,52.96
7,2019,1,2,3,30,8.0,47.17
8,2019,1,2,4,0,9.0,43.13
9,2019,1,2,4,30,10.0,41.35
10,2019,1,2,5,0,11.0,51.38
11,2019,1,2,5,30,12.0,52.05
12,2019,1,2,6,0,13.0,48.74
13,2019,1,2,6,30,14.0,46.73
14,2019,1,2,7,0,15.0,56.08
15,2019,1,2,7,30,16.0,56.85
16,2019,1,2,8,0,17.0,54.28
17,2019,1,2,8,30,18.0,52.37
18,2019,1,2,9,0,19.0,56.43
19,2019,1,2,9,30,20.0,59.09
20,2019,1,2,10,0,21.0,61.99
21,2019,1,2,10,30,22.0,61.95
22,2019,1,2,11,0,23.0,74.73
23,2019,1,2,11,30,24.0,79.77
24,2019,1,2,12,0,25.0,79.05
25,2019,1,2,12,30,26.0,77.11
26,2019,1,2,13,0,27.0,76.58
27,2019,1,2,13,30,28.0,73.69
28,2019,1,2,14,0,29.0,80.39
29,2019,1,2,14,30,30.0,85.35
30,2019,1,2,15,0,31.0,90.12
31,2019,1,2,15,30,32.0,91.34
32,2019,1,2,16,0,33.0,94.59
33,2019,1,2,16,30,34.0,137.42
34,2019,1,2,17,0,35.0,144.9
35,2019,1,2,17,30,36.0,144.62
36,2019,1,2,18,0,37.0,134.55
37,2019,1,2,18,30,38.0,105.68
38,2019,1,2,19,0,39.0,92.82
39,2019,1,2,19,30,40.0,82.3
40,2019,1,2,20,0,41.0,73.86
41,2019,1,2,20,30,42.0,70.82
42,2019,1,2,21,0,43.0,67.61
43,2019,1,2,21,30,44.0,63.07
44,2019,1,2,22,0,45.0,54.29
45,2019,1,2,22,30,46.0,54.02
46,2019,1,2,23,0,47.0,43.82
47,2019,1,2,23,30,48.0,38.56
48,2019,1,3,0,0,1.0,62.74
49,2019,1,3,0,30,2.0,64.46
50,2019,1,3,1,0,3.0,58.47
51,2019,1,3,1,30,4.0,53.34
52,2019,1,3,2,0,5.0,56.34
53,2019,1,3,2,30,6.0,56.03
54,2019,1,3,3,0,7.0,51.7
55,2019,1,3,3,30,8.0,44.68
56,2019,1,3,4,0,9.0,47.71
57,2019,1,3,4,30,10.0,48.56
58,2019,1,3,5,0,11.0,50.39
59,2019,1,3,5,30,12.0,49.06
60,2019,1,3,6,0,13.0,61.61
61,2019,1,3,6,30,14.0,58.65
62,2019,1,3,7,0,15.0,60.82
63,2019,1,3,7,30,16.0,61.48
64,2019,1,3,8,0,17.0,58.94
65,2019,1,3,8,30,18.0,58.41
66,2019,1,3,9,0,19.0,57.4
67,2019,1,3,9,30,20.0,60.84
68,2019,1,3,10,0,21.0,78.51
69,2019,1,3,10,30,22.0,78.59
70,2019,1,3,11,0,23.0,81.1
71,2019,1,3,11,30,24.0,84.2
72,2019,1,3,12,0,25.0,88.74
73,2019,1,3,12,30,26.0,88.41
74,2019,1,3,13,0,27.0,103.97
75,2019,1,3,13,30,28.0,81.24
76,2019,1,3,14,0,29.0,70.95
77,2019,1,3,14,30,30.0,71.6
78,2019,1,3,15,0,31.0,77.79
79,2019,1,3,15,30,32.0,83.5
80,2019,1,3,16,0,33.0,82.83
81,2019,1,3,16,30,34.0,98.26
82,2019,1,3,17,0,35.0,92.04
83,2019,1,3,17,30,36.0,83.05
84,2019,1,3,18,0,37.0,70.0
85,2019,1,3,18,30,38.0,71.15
86,2019,1,3,19,0,39.0,74.75
