index,year,month,day,Settlement Period,System Sell Price(£/MWh),System Buy Price(£/MWh),Net Imbalance Volume(MWh)
0,2019,4,8,1,52.25,52.25,195.4258
1,2019,4,8,2,51.9,51.9,62.2486
2,2019,4,8,3,32.76,32.76,-40.7968
3,2019,4,8,4,50.85,50.85,22.6933
4,2019,4,8,5,51.4,51.4,186.5092
5,2019,4,8,6,50.85,50.85,98.2478
6,2019,4,8,7,50.85,50.85,45.6794
7,2019,4,8,8,51.4,51.4,49.631
8,2019,4,8,9,51.4,51.4,27.8218
9,2019,4,8,10,50.5,50.5,46.7635
10,2019,4,8,11,55.83,55.83,321.1044
11,2019,4,8,12,55.55,55.55,200.4168
12,2019,4,8,13,56.5,56.5,52.688
13,2019,4,8,14,32.9,32.9,-394.5671
14,2019,4,8,15,33.5,33.5,-337.998
15,2019,4,8,16,59.89,59.89,186.9907
16,2019,4,8,17,76.0,76.0,172.496
17,2019,4,8,18,77.0,77.0,233.8473
18,2019,4,8,19,76.0,76.0,183.5916
19,2019,4,8,20,85.0,85.0,230.6793
20,2019,4,8,21,85.0,85.0,273.9188
21,2019,4,8,22,38.5,38.5,-11.6488
22,2019,4,8,23,32.71,32.71,-16.1426
23,2019,4,8,24,90.0,90.0,125.7333
24,2019,4,8,25,34.27,34.27,-46.3055
25,2019,4,8,26,32.71,32.71,-199.8599
26,2019,4,8,27,32.65,32.65,-312.3174
27,2019,4,8,28,32.71,32.71,-357.4854
28,2019,4,8,29,32.65,32.65,-206.0857
29,2019,4,8,30,32.65,32.65,-159.7921
30,2019,4,8,31,32.65,32.65,-191.253
31,2019,4,8,32,32.5,32.5,-97.1463
32,2019,4,8,33,32.55498,32.55498,-342.7202
33,2019,4,8,34,34.31,34.31,-307.2806
34,2019,4,8,35,34.32,34.32,-273.9169
35,2019,4,8,36,34.61,34.61,-108.3283
36,2019,4,8,37,35.15,35.15,-6.3393
37,2019,4,8,38,35.15,35.15,-17.6034
38,2019,4,8,39,35.15,35.15,-29.3829
39,2019,4,8,40,71.03314,71.03314,143.2224
40,2019,4,8,41,76.0,76.0,216.9261
41,2019,4,8,42,35.18,35.18,-41.06
42,2019,4,8,43,35.18,35.18,-39.7874
43,2019,4,8,44,52.0,52.0,38.5701
44,2019,4,8,45,55.0,55.0,509.457
45,2019,4,8,46,55.0,55.0,745.2
46,2019,4,8,47,53.0,53.0,716.0929
47,2019,4,8,48,50.5,50.5,576.2157
48,2019,4,9,1,49.88,49.88,191.8205
49,2019,4,9,2,50.0,50.0,58.4353
50,2019,4,9,3,50.0,50.0,22.1489
51,2019,4,9,4,50.0,50.0,300.4548
52,2019,4,9,5,50.25,50.25,345.7249
53,2019,4,9,6,50.0,50.0,107.3168
54,2019,4,9,7,33.1,33.1,-100.3667
55,2019,4,9,8,33.1,33.1,-235.8501
56,2019,4,9,9,33.1,33.1,-107.4251
57,2019,4,9,10,43.11,43.11,-97.8238
58,2019,4,9,11,45.37,45.37,-37.1916
59,2019,4,9,12,49.75,49.75,126.7388
60,2019,4,9,13,50.0,50.0,313.1982
61,2019,4,9,14,34.2,34.2,-172.9743
62,2019,4,9,15,34.2,34.2,-349.8657
63,2019,4,9,16,52.29,52.29,103.9328
64,2019,4,9,17,34.69,34.69,-58.503
65,2019,4,9,18,37.80727,37.80727,160.9645
66,2019,4,9,19,37.8,37.8,113.6086
67,2019,4,9,20,34.6,34.6,-16.5388
68,2019,4,9,21,25.0,25.0,-346.7992
69,2019,4,9,22,25.0,25.0,-257.2668
70,2019,4,9,23,25.0,25.0,-217.956
71,2019,4,9,24,25.0,25.0,-131.9793
72,2019,4,9,25,25.0,25.0,-113.0292
73,2019,4,9,26,55.0,55.0,384.5124
74,2019,4,9,27,55.0,55.0,427.5883
75,2019,4,9,28,55.0,55.0,307.7674
76,2019,4,9,29,52.0,52.0,180.8119
77,2019,4,9,30,50.8,50.8,15.2244
78,2019,4,9,31,35.26,35.26,-96.9434
79,2019,4,9,32,35.25,35.25,-166.4548
80,2019,4,9,33,50.75,50.75,85.0787
81,2019,4,9,34,35.1,35.1,-19.2595
82,2019,4,9,35,0.0,0.0,-328.3582
83,2019,4,9,36,25.0,25.0,-213.6016
84,2019,4,9,37,25.0,25.0,-151.0673
85,2019,4,9,38,50.0,50.0,40.4639
86,2019,4,9,39,35.28,35.28,-233.0105
87,2019,4,9,40,35.35,35.35,-185.4806
88,2019,4,9,41,35.28,35.28,-267.2638
89,2019,4,9,42,35.1,35.1,-172.4009
90,2019,4,9,43,35.1,35.1,-261.786
91,2019,4,9,44,25.0,25.0,-541.9146
92,2019,4,9,45,25.0,25.0,-195.4881
93,2019,4,9,46,45.0,45.0,4.5345
94,2019,4,9,47,51.69,51.69,146.4174
95,2019,4,9,48,34.6,34.6,-334.2901
96,2019,4,10,1,37.68,37.68,-345.8696
97,2019,4,10,2,37.69,37.69,-276.4222
98,2019,4,10,3,38.11,38.11,-20.1751
99,2019,4,10,4,50.6,50.6,239.682
100,2019,4,10,5,38.17,38.17,-37.5722
101,2019,4,10,6,35.1,35.1,-104.0314
102,2019,4,10,7,34.6,34.6,-209.5666
103,2019,4,10,8,34.6,34.6,-196.0833
104,2019,4,10,9,31.92,31.92,-167.4843
105,2019,4,10,10,31.92,31.92,-144.584
106,2019,4,10,11,35.6,35.6,-11.3438
107,2019,4,10,12,54.9,54.9,197.836
108,2019,4,10,13,59.0,59.0,656.5559
109,2019,4,10,14,55.2,55.2,277.1598
110,2019,4,10,15,35.5,35.5,-16.8738
111,2019,4,10,16,89.5,89.5,314.7831
112,2019,4,10,17,98.0,98.0,562.0179
113,2019,4,10,18,89.0,89.0,511.2433
114,2019,4,10,19,87.5,87.5,477.5423
115,2019,4,10,20,89.0,89.0,379.394
116,2019,4,10,21,84.0,84.0,159.6517
117,2019,4,10,22,35.1,35.1,-76.6918
118,2019,4,10,23,61.5,61.5,140.8393
119,2019,4,10,24,49.5,49.5,71.5857
120,2019,4,10,25,36.03,36.03,-147.8842
121,2019,4,10,26,35.1,35.1,-237.2219
122,2019,4,10,27,35.1,35.1,-584.8853
123,2019,4,10,28,28.75104,28.75104,-741.5301
124,2019,4,10,29,23.0,23.0,-613.4588
125,2019,4,10,30,23.0,23.0,-628.3267
126,2019,4,10,31,26.94443,26.94443,-773.6234
127,2019,4,10,32,10.0,10.0,-629.874
128,2019,4,10,33,35.6,35.6,-635.8987
129,2019,4,10,34,36.11,36.11,-198.416
130,2019,4,10,35,36.05,36.05,-237.5921
131,2019,4,10,36,36.16,36.16,-42.3959
132,2019,4,10,37,36.13,36.13,-229.1456
133,2019,4,10,38,36.16,36.16,-80.9496
134,2019,4,10,39,36.16,36.16,-62.0425
135,2019,4,10,40,75.5,75.5,91.0611
136,2019,4,10,41,85.0,85.0,286.5697
137,2019,4,10,42,75.5,75.5,31.8915
138,2019,4,10,43,55.02,55.02,16.0806
139,2019,4,10,44,38.71514,38.71514,5.276
140,2019,4,10,45,36.16,36.16,-435.1056
141,2019,4,10,46,36.0,36.0,-755.5191
142,2019,4,10,47,25.0,25.0,-493.7726
143,2019,4,10,48,35.37462,35.37462,-344.4047
144,2019,4,11,1,10.0,10.0,-308.2141
145,2019,4,11,2,29.98,29.98,-280.2815
146,2019,4,11,3,29.98,29.98,-202.2476
147,2019,4,11,4,36.16938,36.16938,-8.3946
148,2019,4,11,5,29.51,29.51,-214.6519
149,2019,4,11,6,29.51,29.51,-156.9732
150,2019,4,11,7,30.01,30.01,-730.9443
151,2019,4,11,8,30.01,30.01,-344.9857
152,2019,4,11,9,31.53,31.53,-87.2167
153,2019,4,11,10,31.53,31.53,-102.15
154,2019,4,11,11,34.6,34.6,-534.7846
155,2019,4,11,12,36.25,36.25,-400.3904
156,2019,4,11,13,36.26,36.26,-293.7583
157,2019,4,11,14,36.26,36.26,-54.3971
158,2019,4,11,15,36.1,36.1,-566.8913
159,2019,4,11,16,36.11,36.11,-315.5504
160,2019,4,11,17,78.33,78.33,21.1488
161,2019,4,11,18,36.12,36.12,-236.4931
162,2019,4,11,19,36.26,36.26,-72.1369
163,2019,4,11,20,34.6,34.6,-449.691
164,2019,4,11,21,35.1,35.1,-389.9102
165,2019,4,11,22,36.11,36.11,-375.177
166,2019,4,11,23,36.12,36.12,-47.9864
167,2019,4,11,24,36.2,36.2,-111.0611
168,2019,4,11,25,36.12,36.12,-264.918
169,2019,4,11,26,35.11,35.11,-676.0238
170,2019,4,11,27,35.11,35.11,-560.3377
